Step,Latitude,Longitude,VelocityU,VelocityV,DistanceToShore,Beached
420,58.0756,5.99423,0.00398755,0.0418241,33934.1,No
421,58.0769,5.9944,0.00476805,0.0399502,33793.3,No
422,58.0783,5.99465,0.00740819,0.0423875,33640.8,No
423,58.0798,5.995,0.0104097,0.0456609,33473,No
424,58.0814,5.99545,0.0133968,0.048897,33289,No
425,58.0832,5.996,0.0167278,0.0546451,33081.2,No
426,58.0852,5.99667,0.0201318,0.06091,32847.2,No
427,58.0874,5.99744,0.0235395,0.067191,32590,No
428,58.0896,5.99827,0.0253563,0.0689217,32325,No
429,58.0919,5.99915,0.0268491,0.0697637,32055.8,No
430,58.0942,6.00009,0.0283356,0.0706323,31778.7,No
431,58.0967,6.00122,0.0340728,0.0753391,31477,No
432,58.0993,6.00257,0.0406524,0.0808271,31147.9,No
433,58.1021,6.00411,0.0472212,0.0863353,30791.9,No
434,58.1051,6.00581,0.0517553,0.0921374,30409.6,No
435,58.1083,6.00764,0.0558683,0.0979897,30002.7,No
436,58.1117,6.00961,0.0599633,0.103836,29569.6,No
437,58.1153,6.01178,0.066174,0.110442,29106,No
438,58.1192,6.01417,0.0728197,0.117207,28610.3,No
439,58.1232,6.01667,0.0794785,0.123982,28088.9,No
440,58.1274,6.01858,0.0614211,0.127834,27578.1,No
441,58.1317,6.01975,0.0386226,0.130633,27090.7,No
442,58.136,6.0201,0.0162322,0.133355,26630.4,No
443,58.1404,6.019,-0.027832,0.134483,26231.5,No
444,58.1448,6.01636,-0.0753637,0.135281,25906.7,No
445,58.1493,6.01232,-0.122006,0.136043,25654.7,No
446,58.1538,6.00784,-0.136702,0.138832,25427.2,No
447,58.1584,6.00309,-0.144936,0.142052,25152.4,No
448,58.1632,5.99809,-0.152978,0.1453,24756.4,No
449,58.168,5.99292,-0.158335,0.148174,24357.8,No
450,58.173,5.9876,-0.163127,0.150949,23973.2,No
451,58.1779,5.98216,-0.167889,0.153728,23609.5,No
452,58.1825,5.97691,-0.162496,0.143013,23300,No
453,58.1867,5.97189,-0.1553,0.129953,23049.4,No
454,58.1905,5.96707,-0.148303,0.117207,22847.7,No
